clip_sequence,cum_clip,min_id,max_id,skill,problem_id,user_id,assignment_id,assistment_id,avg_attemptCount,avg_bottomHint,avg_correct,avg_frIsHelpRequest,avg_frPast5HelpRequest,avg_frPast5WrongCount,avg_frPast8HelpRequest,avg_frPast8WrongCount,avg_frWorkingInSchool,avg_hint,avg_hintCount,avg_hintTotal,avg_original,avg_past8BottomOut,avg_scaffold,avg_stlHintUsed,avg_timeSinceSkill,avg_timeTaken,avg_totalFrAttempted,avg_totalFrPastWrongCount,avg_totalFrPercentPastWrong,avg_totalFrSkillOpportunities,avg_totalFrTimeOnSkill,max_attemptCount,max_bottomHint,max_correct,max_frIsHelpRequest,max_frPast5HelpRequest,max_frPast5WrongCount,max_frPast8HelpRequest,max_frPast8WrongCount,max_frWorkingInSchool,max_hint,max_hintCount,max_hintTotal,max_original,max_past8BottomOut,max_scaffold,max_stlHintUsed,max_timeSinceSkill,max_timeTaken,max_totalFrAttempted,max_totalFrPastWrongCount,max_totalFrPercentPastWrong,max_totalFrSkillOpportunities,max_totalFrTimeOnSkill,min_attemptCount,min_bottomHint,min_correct,min_frIsHelpRequest,min_frPast5HelpRequest,min_frPast5WrongCount,min_frPast8HelpRequest,min_frPast8WrongCount,min_frWorkingInSchool,min_hint,min_hintCount,min_hintTotal,min_original,min_past8BottomOut,min_scaffold,min_stlHintUsed,min_timeSinceSkill,min_timeTaken,min_totalFrAttempted,min_totalFrPastWrongCount,min_totalFrPercentPastWrong,min_totalFrSkillOpportunities,min_totalFrTimeOnSkill,sum_attemptCount,sum_bottomHint,sum_correct,sum_frIsHelpRequest,sum_frPast5HelpRequest,sum_frPast5WrongCount,sum_frPast8HelpRequest,sum_frPast8WrongCount,sum_frWorkingInSchool,sum_hint,sum_hintCount,sum_hintTotal,sum_original,sum_past8BottomOut,sum_scaffold,sum_stlHintUsed,sum_timeSinceSkill,sum_timeTaken,sum_totalFrAttempted,sum_totalFrPastWrongCount,sum_totalFrPercentPastWrong,sum_totalFrSkillOpportunities,sum_totalFrTimeOnSkill,confusion,concentration,boredom,frustration,urbanicity
1,38,94,94,12,2264,72720,287761,2264,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,415.408,93,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,415.408,93,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,415.408,93,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,415.408,93,0,0,0,0,0,0,1,0,1
2,59,132,133,277,87320,72728,287807,48719,1,0,0.5,0,0,0,0,0,1,0,0,3.5,1,0,0,0,0,24.1485,24.5,0,0,0.5,22.188,1,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,44.376,25,0,0,1,44.376,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,3.921,24,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,7,2,0,0,0,0,48.297,49,0,0,1,44.376,0,0,1,0,1
2,73,155,155,279,54301,72728,287809,34694,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23.736,47,3,0.3,10,201.022,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23.736,47,3,0.3,10,201.022,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23.736,47,3,0.3,10,201.022,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23.736,47,3,0.3,10,201.022,0,0,1,0,1
3,95,183,183,15,92449,72735,287773,52769,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,37.905,8,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,37.905,8,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,37.905,8,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,37.905,8,0,0,0,0,0,0,1,0,1
3,104,195,197,0,56807,72735,287774,36485,6,0.333333333,0.333333333,0,0,0,0,0,1,0.333333333,3.666666667,4,0,0,0,0.333333333,0,11.41133333,21,2,0,9,287.4413067,7,1,1,0,0,0,0,0,1,1,4,4,0,0,0,1,0,29.359,22,2,0,10,298.40497,5,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,1.766,20,2,0,8,267.27997,18,1,1,0,0,0,0,0,3,1,11,12,0,0,0,1,0,34.234,63,6,0,27,862.32392,0,0,1,0,1
3,113,209,210,0,49022.5,72735,287776,32042,1.5,0,1,0,0,0.5,0,0.5,1,0,0,3,0,0,0,0,0,16.258,34.5,4,0.2,14.5,351.90499,2,0,1,0,0,1,0,1,1,0,0,3,0,0,0,0,0,20.532,35,4,0.4,15,362.171,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,11.984,34,4,0,14,341.63898,3,0,2,0,0,1,0,1,2,0,0,6,0,0,0,0,0,32.516,69,8,0.4,29,703.80998,0,1,0,0,1
4,135,244,244,90,39032,72738,287768,28456,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,37.422,7,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,37.422,7,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,37.422,7,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,37.422,7,0,0,0,0,0,1,0,0,1
4,139,248,248,281,132,72738,287761,136,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,20.718,11,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,20.718,11,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,20.718,11,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,20.718,11,0,0,0,0,0,1,0,0,1
5,208,338,338,0,33939,73281,287767,26349,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,77.658,27,2,0.5,8,313.418,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,77.658,27,2,0.5,8,313.418,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,77.658,27,2,0.5,8,313.418,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,77.658,27,2,0.5,8,313.418,0,1,0,0,1
5,216,352,352,18,30342,73281,287767,25056,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,49.734,41,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,49.734,41,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,49.734,41,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,49.734,41,0,0,0,0,0,0,1,0,1
